nro_llamado,titulo,fecha_inicio,fecha_fin,tipo_tarea,tipo_vinculo,tiempo_contrato,descripcion,requisitos,recepcion_postulaciones,recepcion_consultas,telefono_consultas,organismo,comentario_interes
6395/2020,Asistente Clín Neuropediatría del CHPR - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,tareas docentes correspondientes al cargo en efectividad de Asistente Gr. 2 de la Clínica de Neuropediatría del CHPR,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla;una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito)imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en larelación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmadaescanear o sacarle foto con el celular y adjuntar como pdf.– Título de Doctor en MedicinaDeben escanear o sacarle foto de ambos lados con el celular y adjuntarcomo pdf.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"IMPORTANTE:Por resolución adoptada por el Consejo de Facultad de Medicina de fecha 24.10.01, nro. 20 ""Dado loprolongado de los trámites de expedición de títulos, el Consejo podrá autorizar la inscripción a los concursospara la provisión titular de Grado. 2 de Materias de Diagnóstico y Tratamiento Especializado y MateriasClínicas, a aquellos egresados de la carrera de Doctor en Medicina que tengan en trámite el Título, dejandoconstancia que en el caso de ser ganadores eventuales no podrán tomar posesión del cargo hasta no tenerefectivamente el Título correspondiente, habilitado por el Ministerio de Salud Pública. Las solicitudes deberánrealizarse en cada caso en Sección Concursos:- Que no hayan transcurrido más de doce años entre la fecha en que se está en condicionesde obtener el título de Doctor en Medicina y el momento de la inscripción (modificado por resolución delC.D.C. con fecha 9.6.92).- Quienes hubieran ocupado en efectividad un cargo de grado II no podrán volver a concursarpor un cargo análogo en la misma disciplina."
6397/2020,Asistente Dpto. Anestesiología - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de asistente Gr. 2 del Dpto. de Anestesiología,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; unavez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito)imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en larelación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmadaescanear o sacarle foto con el celular y adjuntar como pdf.-Fotocopia del título de Doctor en Medicina (pdf)","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"Por resolucin adoptada por el Consejo de Facultad de Medicina de fecha 24.10.01 N°20: Dadolo prolongado de los trámites de expedición de títulos, el Consejo podrá autorizar la inscripción a los concursospara la provisión titular de Grado 2 de Materias de Diagnóstico y Tratamiento Especializado y Materias Clínicas, aaquellos egresados de la carrera de Doctor en Medicina que tengan en trámite el Título, dejando constancia queen el caso de ser ganadores eventuales no podrán tomar posesión del cargo hasta no tener efectivamente el títulocorrespondiente habilitado por el Ministeriode Salud Pública.Las solicitudes deberán realizarse en cada caso en Sección Concursos.–Que no hayan transcurrido más de doce años entre la fecha en que se está en condiciones de obtener el títulode Doctor en Medicina y el momento de la inscripción (modificado por resolución del C.D.C. con fecha 19.6.01).–Quienes hubieran ocupado en efectividad un cargo de grado II no podrán volver a concursar por un cargoanálogo en la misma disciplina."
6398/2020,Asistente Clínica Radiología Pediátrica - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tares docentes correspondientes al cargo en efectividad de Asistente Gr. 2 de la Clínica de Radiología Pediátrica,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; unavez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito)imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en larelación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmadaescanear o sacarle foto con el celular y adjuntar como pdf.-Fotocopia del título de Doctor en Medicina (pdf)","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,ver pdf adjunto
6399/2020,Prof Adj Clín Trauma y Ortopedia Pediát - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto Gr. 3 de la Clínica de Traumatología y Ortopedia Pediátrica,ver pdf adjunto,"Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,ver pdf adjunto
6400/2020,PROFESOR TITULAR MICROBIOLOGÍA - Universidad de la República - Facultad de Quí­mica,16/10/2020,17/08/2020,Docentes,Presupuestado,Efectivo,- Enseñanza de Microbiología General.,Requerimientos específicos:- Formación de grado y de posgrado en áreas vinculadas a la Química y la Microbiología.- Experiencia en enseñanza e investigación en Microbiología.- Antecedentes en formación en recursos humanos a nivel de grado y posgrado en Microbiología.,concursos@fq.edu.uy,concursos@fq.edu.uy,29290124,Universidad de la República - Facultad de Quí­mica,Se valorará:- Experiencia en Investigación en Análisis Microbiológico y en Aplicaciones de la Microbiología a ProcesosProductivos Sustentables.
6401/2020,Prof Adj Clínica Pediátrica B - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto Gr. 3 de la Clínica Pediátrica B,ver pdf adjunto,"Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,ver pdf adjunto
6402/2020,Prof. Adj. Cátedra de Oftalmología - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto Gr. 3 de la Cátedra de Oftalmología,ver pdf adjunto,"Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,ver pdf adjunto
6403/2020,Prof Adjunto Dpto de Anestesiología - Universidad de la República - Facultad de Medicina,12/11/2020,13/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto Gr. 3 del Dpto de Anestesiología,ver pdf adjunto,"Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,ver pdf adjunto
6428/2020,Docente - Titular Grado 5 - Universidad de la República - Facultad de Derecho,26/10/2020,24/08/2020,Dirección,,,LLAMADO A ASPIRANTES PARA LA PROVISIÓN DE UN CARGO DOCENTE GRADO 5 CON 30 HORAS SEMANALES PARA EL DESEMPEÑO EN EFECTIVIDAD COMO DIRECTOR DE LA ESCUELA DE POSGRADO DE LA FACULTAD DE DERECHO,Los requisitos específicos y RM-DJ se encuentran en el siguiente link: https://www.fder.edu.uy/node/3029,"SECCIÓN CONCURSOS de la FACULTAD DE DERECHO, Edificio Anexo, Colonia 1801, de lunes a viernes en el horario de 9 a 13 horas.",concursos@fder.edu.uy,0,Universidad de la República - Facultad de Derecho,El formulario de inscripción se encuentra en la página web de Facultad de Derecho/ Gestión y Servicios/ Concursos/ Llamados a grados/Formularios y Requisitos de presentación/ Grados
6432/2020,Profesor Agregado de Patología - Universidad de la República - Facultad de Veterinaria,20/10/2020,20/08/2020,Docentes,,2 años,"enseñanza, investigación y extensión",MAYOR DE EDAD,https://www.concursos.udelar.edu.uy/index.php?script=27&t=en_inscripcion,gestionconcursosfvet@gmail.com,1903 int 2318 y 2319,Universidad de la República - Facultad de Veterinaria,MAYOR DE EDAD
6450/2020,Asistente Dpto. de Fisiopatología - Universidad de la República - Facultad de Medicina,19/11/2020,19/08/2020,Docentes,Presupuestado,,Tareas docentes correspondientes al cargo en efectividade de Asistente Gr. 2 del Dpto. de Fisiopatología,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.IMPORTANTE La relación de méritos tiene valor de declaración jurada. A los postulantes les llegará una comunicación del Dpto. de Concursos indicando en que forma y cuando deben presentar los méritos, luego de confirmada su inscripción.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"OTROS REQUISITOS:A) SER EGRESADO, salvo que se inscriba para: Anatomía, Histología, Genética, Bioquímica, Biofísica, Fisiología, Métodos Cuantitativos, Bacteriología, Parasitología, Fisiopatología y Farmacología (pueden ser estudiantes o egresados).Egresado de la Facultad de Medicina, adjuntar título de Médico (fotocopia).Egresado de otras dependencias universitarias, adjuntar informe de la Comisión de Revalidas que aprueba la razonable equivalencia con la materia que se aspira (EN EL MOMENTO DE LA INSCRIPCION).B) SI ES ESTUDIANTE DE MEDICINA: I) para los que se inscriben en las siguientes disciplinas: Anatomía, Histología, Genética, Bioquímica, Biofísica, Fisiología, Métodos Cuantitativos, Inmunobiología tener aprobado el ES.FU.NO. II) para los que se inscriban en las siguientes disciplinas: Fisiopatología, Bacteriología, Parasitología y Depto. de Desarrollo Biotecnológico y división Producción del Instituto de Higiene, tener aprobado CEFA y CIMI III) para los que se inscriban en Farmacología, tener aprobado el 1er. Año de CICLIPAC) Estudiantes de otras dependencias universitarias, adjuntar informe de la Comisión de Revalidas que aprueba la razonable equivalencia de la disciplina a la que aspira.D)No haber ocupado en efectividad un cargo del mismo grado y en la misma disciplina."
6451/2020,Asistente de Clínica de Endocrinología - Universidad de la República - Facultad de Medicina,19/11/2020,19/08/2020,Docentes,Presupuestado,,Tareas docnetes correspondientes al cargo en efectividad de Asistente Gr. 2 de la Clínica de Endocrinología,"Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Título de Doctor en Medicina Deben escanear o sacarle foto de ambos lados con el celular y adjuntar como pdf.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"IMPORTANTE:Por resolución adoptada por el Consejo de Facultad de Medicina de fecha 24.10.01, nro. 20 ""Dado lo prolongado de los trámites de expedición de títulos, el Consejo podrá autorizar la inscripción a los concursos para la provisión titular de Grado. 2 de Materias de Diagnóstico y Tratamiento Especializado y Materias Clínicas, a aquellos egresados de la carrera de Doctor en Medicina que tengan en trámite el Título, dejando constancia que en el caso de ser ganadores eventuales no podrán tomar posesión del cargo hasta no tener efectivamente el Título correspondiente, habilitado por el Ministerio de Salud Pública. Las solicitudes deberán realizarse en cada caso en Sección Concursos: - Que no hayan transcurrido más de doce años entre la fecha en que se está en condiciones de obtener el título de Doctor en Medicina y el momento de la inscripción (modificado por resolución del C.D.C. con fecha 9.6.92). - Quienes hubieran ocupado en efectividad un cargo de grado II no podrán volver a concursar por un cargo análogo en la misma disciplina."
6462/2020,Provisión Efectiva - Universidad de la República - Facultad de Agronomí­a,21/10/2020,20/08/2020,Docentes,Presupuestado,De la toma de posesión y por 2 años.,CARPETA Nro. 10.264 (020500-000176-20),"CARPETA Nro. 10.264 (020500-000176-20)1 (un) cargo de Profesor Adjunto del Dpto. de Biometría, GD Métodos Estadísticos, (Gr. 3, 20 hs. sem., Montevideo), a partir de la toma de posesión (no antes del 01.12.20) y por el término de 2 (dos) años, financiado con fondos estructurales del citado Dpto. (financiación 1.1, llave presupuestal 200 010 109).",Facultad de Agronomía - Sección Concursos,Facultad de Agronomía - Sección Concursos,concurso@fagro.edu.uy,Universidad de la República - Facultad de Agronomí­a,"""...La presente convocatoria se enmarca en la Política de Calidad con equidad de género que el Consejo de Facultad de Agronomía aprobó (Resolución 541 del 09.05.2016), la que promueve la integración de mujeres y varones en todos los cargos sin discriminación alguna en este servicio""."
6463/2020,Provisión Efectiva - Universidad de la República - Facultad de Agronomí­a,21/10/2020,20/08/2020,Docentes,Presupuestado,De la toma de posesión y por 2 años,REAPERTURA CARPETA Nro. 10.242 (020100-000107-20),"REAPERTURA CARPETA Nro. 10.242 (020100-000107-20)1 (un) cargo de Asistente Efectivo del Dpto. de Ciencias Sociales - GD Gestión Agropecuaria (Gr. 2, 20 hs sem., Montevideo), a partir de la toma de posesión (no antes del 01/01/21) y por el término de 2 (dos) años. Financiado con fondos estructurales del Dpto. (financiación 1.1 - llave presupuestal 200 010 110)",Facultad de Agronomía - Sección Concursos,Facultad de Agronomía - Sección Concursos,concurso@fagro.edu.uy,Universidad de la República - Facultad de Agronomí­a,"""...La presente convocatoria se enmarca en la Política de Calidad con equidad de género que el Consejo de Facultad de Agronomía aprobó (Resolución 541 del 09.05.2016), la que promueve la integración de mujeres y varones en todos los cargos sin discriminación alguna en este servicio""."
6468/2020,"Gr. 3 Cat. Rehab., Prost. Rem. I y Gerod - Universidad de la República - Facultad de Odontología",19/10/2020,21/08/2020,Docentes,Presupuestado,,"Gr.3, efectivo, para la Cát de Rehabilitación, Prostodoncia Removible I y Gerodontología, nº de llamado 072/20 expe 091130-000456-20, Resolución nº 9 del Consejo de Facultad de sesión 13/08/2020.","Documentación a presentar: *Declaración Jurada de “Relación de Méritos y Antecedentes”, debe ser enviada al correo electrónico formularioconcursos@odon.edu.uy, en formato Pdf.En Asunto debe poner número de llamado y nombre. Se debe bajar de la página web de Facultad: *https://odon.edu.uy/sitios/concursos/documentacion-a-presentar .Este formulario debe contener un Timbre Profesional valor de Declaración Jurada ($190) y venir con su firma. No se aceptarán inscripciones después de las 12 horas del día de cierre o que incumplan los requisitos que se establecen en las bases del presente llamado. Las imágenes deben ser de buena calidad, en caso contrario quedará a criterio de la Comisión Asesora o del Tribunal respectivo, si los mismos son tomados en cuenta.Se les citará oportunamente para que entregue en nuestra Sección, el original de la Declaración Jurada.",formularioconcursos@odon.edu.uy,concurso@odon.edu.uy,24873048 int. 110,Universidad de la República - Facultad de Odontología,"En caso de que el día de cierre coincida con alguna medida sindical o situación de fuerza mayor que impida la recepción de inscripciones, el plazo se extiende automáticamente hasta las 12.00 horas del día hábil inmediato siguiente. Se deja constancia que la dirección de correo electrónico que se brinde en el formulario de inscripción al llamado, se considerará válida para todas las notificaciones personales que correspondiere realizar. El aspirante de resultar seleccionado y al sólo efecto de la eventual toma de posesión del cargo o función, deberá tener presente la normativa vigente con respecto a la situación de Acumulación de Cargos y Sueldos de Funciones Públicas. Ud. puede seguir el proceso del llamado con el número de expediente"
6522/2020,Prof. Adjunto Clínica Quirúrgica A - Universidad de la República - Facultad de Medicina,24/11/2020,24/08/2020,Docentes,Presupuestado,,"Tareas docentes correspondientes al cargo en efectividad de Prof. Adjunto, Gr. 3 de Clínica Quirúrgica A","Al momento de la inscripción los interesados deberán presentar los formularios que se detallan a continuación:– Solicitud de inscripción, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Declaración Jurada y Compromiso de cargo, Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.– Relación de Méritos, Sólo se considerarán a efectos de su evaluación los méritos incluídos en la relación. Deben completarla en computadora (no manuscrito) imprimirla y firmarla; una vez firmada escanear o sacarle foto con el celular y adjuntar como pdf.IMPORTANTE La relación de méritos tiene valor de declaración jurada. A los postulantes les llegará una comunicación del Dpto. de Concursos indicando en que forma y cuando deben presentar los méritos, luego de confirmada su inscripción.","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy","Dpto. de Concursos, Edificio Central de Facultad de Medicina, planta baja. Gral. Flores 2125 entre Yatay e Isidoro de María. Atención al público de 14 a 17 hs. (Con motivo de la pandemia solo se atiende vía mail) consulta por mail a concurso@fmed.edu.uy",no se recepcionan consultas telefónicas,Universidad de la República - Facultad de Medicina,"Los formularios se podrán descargar del siguiente enlace: http://www.fmed.edu.uy/concursos/formulariosLos mismos deberán presentarse completados en computadora. NO SE RECIBIRÁN INSCRIPCIONES FUERA DE PLAZO Y HORARIO ESTABLECIDOS BAJO NINGÚN CONCEPTO, SE TENDRÁ EN CUENTA EL HORARIO EN QUE SE RECIBIÓ EL MAIL RESPECTIVO. SE RECOMIENDA NO ENVIAR LA DOCUMENTACIÓN EL ÚLTIMO DÍA DE INSCRIPCIONES."
6528/2020,Licenciado en Enfermería - Universidad de la República - Facultad de Enfermería,13/10/2020,28/08/2020,Docentes,,desde toma de posesión por 4 años,Grado 3 - 24 horas semanales - para cumplir funciones en el Departamento de Administración CENUR LITORAL NORTE,"REQUISITO EXCLUYENTES1- Título Licenciado en Enfermería, expedido por Udelar y habilitado por el Ministerio de Salud2- Residencia en la región3- Experiencia y formación probada en Gestión de los Servicios de Salud4- Experiencia en docencia, investigación y extensiónREQUISITOS NO EXCLUYENTES - SE VALORARÁ:A) Título de Especialista en el área o Maestría en Gestión de los Servicios de SaludB) Manejo de las Tecnologías de la Información y ComunicaciónC) Formación en pedagogía o didácticaPor más datos, VER BASES",CENUR LITORAL NORTE - SECCIÓN CONCURSOS,concursos@fenf.edu.uy,2486-4521 (Montevideo),Universidad de la República - Facultad de Enfermería,VER BASES
6529/2020,Licenciado en Enfermería - Universidad de la República - Facultad de Enfermería,13/10/2020,28/08/2020,Docentes,,"desde toma de posesión, por 4 años",Grado 3 - 30 horas semanales - para cumplir funciones en el Departamento de Salud Materno Infantil (Facultad de Enfermería),"REQUISITOS1) Título de Licenciado en Enfermería (habilitado por el Ministerio de Salud2) Experiencia asistencial, docente y/o de investigación en las siguientes áreas: Salud Sexual y Reproductiva, Perinatología, Neonatología y Obstetricia, en los diferentes niveles de atención.SE VALORARÁa) Formación de posgrados en el área Materno Infantil, Salud Sexual y Reproductiva, Neonatología u ObstetriciaPor más información, VER BASES",UNIVERSIDAD DE LA REPUBLICA - FACULTAD DE ENFERMERÍA - SECCIÓN CONCURSOS Jaime Cibils 2810,concursos@fenf.edu.uy,2486-4521,Universidad de la República - Facultad de Enfermería,VER BASES
6530/2020,Título Universitario - Universidad de la República - Facultad de Enfermería,13/10/2020,28/08/2020,Docentes,,"desde toma de posesión, por 4 años","Grado 3, 35 horas semanales, para cumplir funciones en el Departamento de Enfermería en Salud Comunitaria (Facultad de Enfermería)","1) TITULO UNIVERSITARIO2) CURRICULUM VITAE3) PROYECTO DE TRABAJO4) CONCEPTO DEL CARGO AL QUE ASPIRAPor más información, VER BASES",UNIVERSIDAD DE LA REPUBLICA - FACULTAD DE ENFERMERÍA - SECCIÓN CONCURSOS Jaime Cibils 2810,concursos@fenf.edu.uy,2486-4521,Universidad de la República - Facultad de Enfermería,VER BASES
6579/2020,PROFESOR ADJUNTO EVALUACIÓN SENSORIAL - Universidad de la República - Facultad de Quí­mica,30/10/2020,01/09/2020,Docentes,Presupuestado,efectivo,"- Ejecución de funciones de enseñanza, investigación u otras actividades creativas, extensión y actividades",Requerimientos específicos:- Egresados que cuenten con el nivel de conocimientos que proporciona una formación de posgrado en elárea de sensorial y experiencia en enseñanza universitaria de evaluación sensorial.,concursos@fq.edu.uy,concursos@fq.edu.uy,29290124,Universidad de la República - Facultad de Quí­mica,Se valorará:- Los méritos de los postulantes según lo establecido en el guía para la presentación y evaluación de méritospara los Grados 3 del Depto. de Ciencia y Tecnología de Alimentos.
